PS C:\Users\Sam Jaudat> docker logs todoapp-sqlserver-1
SQL Server 2022 will run as non-root by default.
This container is running as user mssql.
Your master database file is owned by mssql.
To learn more visit https://go.microsoft.com/fwlink/?linkid=2099216.
2025-07-23 20:41:07.54 Server      The licensing PID was successfully processed. The new edition is [Express Edition].
2025-07-23 20:44:46.91 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:47.44 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:47.44 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:47.97 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:47.97 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:48.56 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:48.56 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:49.13 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:49.13 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:49.72 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:49.72 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:50.27 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:50.27 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:50.83 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:50.83 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:51.37 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:51.37 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:51.93 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:51.93 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:52.48 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:52.48 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:53.00 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:53.00 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:53.53 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:53.53 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:54.07 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:54.07 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:54.62 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:54.62 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:55.15 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:55.15 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:55.67 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:55.67 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:56.20 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:56.20 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:56.72 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:56.72 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:57.27 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:57.27 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:57.79 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:57.79 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:58.36 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:58.36 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:58.89 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:58.89 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:59.44 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:59.44 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:44:59.98 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:44:59.98 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:00.53 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:00.53 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:01.06 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:01.06 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:01.58 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:01.58 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:02.10 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:02.10 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:02.62 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:02.62 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:03.17 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:03.17 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:03.70 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:03.70 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:04.24 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:04.24 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:04.79 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:04.79 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:05.32 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:05.32 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:05.86 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:05.86 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:06.39 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:06.39 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:06.93 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:06.93 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:07.46 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:07.46 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:08.01 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:08.01 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:08.56 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:08.56 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:09.11 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:09.11 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:09.65 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:09.65 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:10.19 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:10.19 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:10.71 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:10.71 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:11.26 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:11.26 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:11.79 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:11.79 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:12.34 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:12.34 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:12.86 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:12.86 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:13.40 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:13.40 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:13.94 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:13.94 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:14.48 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:14.48 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:15.03 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:15.03 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:15.57 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:15.57 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:16.12 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:16.12 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:16.66 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:16.66 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:17.21 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:17.21 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:17.73 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:17.73 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:18.26 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:18.26 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:18.80 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:18.80 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:19.35 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:19.35 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:19.90 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:19.90 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
2025-07-23 20:45:40.85 Logon       Error: 18456, Severity: 14, State: 8.
2025-07-23 20:45:40.85 Logon       Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 172.18.0.3]
